pred_date,itemkind,price_pred,itemnm,kindnm
2021-09-21,얼갈이배추-얼갈이배추(1kg),2688.448954471684,얼갈이배추,얼갈이배추(1kg)
2021-09-22,얼갈이배추-얼갈이배추(1kg),2586.475178896673,얼갈이배추,얼갈이배추(1kg)
2021-09-23,얼갈이배추-얼갈이배추(1kg),2476.683456197575,얼갈이배추,얼갈이배추(1kg)
2021-09-24,얼갈이배추-얼갈이배추(1kg),2420.8023574439676,얼갈이배추,얼갈이배추(1kg)
2021-09-25,얼갈이배추-얼갈이배추(1kg),1741.0884203921046,얼갈이배추,얼갈이배추(1kg)
2021-09-26,얼갈이배추-얼갈이배추(1kg),1668.981645213997,얼갈이배추,얼갈이배추(1kg)
2021-09-27,얼갈이배추-얼갈이배추(1kg),2282.105761305757,얼갈이배추,얼갈이배추(1kg)
2021-09-28,얼갈이배추-얼갈이배추(1kg),2191.599690325072,얼갈이배추,얼갈이배추(1kg)
2021-09-29,얼갈이배추-얼갈이배추(1kg),2093.6377807195026,얼갈이배추,얼갈이배추(1kg)
2021-09-30,얼갈이배추-얼갈이배추(1kg),1993.092688756132,얼갈이배추,얼갈이배추(1kg)
2021-10-01,얼갈이배추-얼갈이배추(1kg),1951.58954199473,얼갈이배추,얼갈이배추(1kg)
2021-10-02,얼갈이배추-얼갈이배추(1kg),1289.9225488520244,얼갈이배추,얼갈이배추(1kg)
2021-10-03,얼갈이배추-얼갈이배추(1kg),1241.1951370646134,얼갈이배추,얼갈이배추(1kg)
2021-10-04,얼갈이배추-얼갈이배추(1kg),1882.6538442131837,얼갈이배추,얼갈이배추(1kg)
2021-10-05,얼갈이배추-얼갈이배추(1kg),1822.5073147055407,얼갈이배추,얼갈이배추(1kg)
2021-10-06,얼갈이배추-얼갈이배추(1kg),1757.4601723929231,얼갈이배추,얼갈이배추(1kg)
2021-10-07,얼갈이배추-얼갈이배추(1kg),1691.7022041069404,얼갈이배추,얼갈이배추(1kg)
2021-10-08,얼갈이배추-얼갈이배추(1kg),1686.243585949001,얼갈이배추,얼갈이배추(1kg)
2021-10-09,얼갈이배추-얼갈이배추(1kg),1060.0037927320773,얼갈이배추,얼갈이배추(1kg)
2021-10-10,얼갈이배추-얼갈이배추(1kg),1047.4459030658224,얼갈이배추,얼갈이배추(1kg)
2021-10-11,얼갈이배추-얼갈이배추(1kg),1725.250701527178,얼갈이배추,얼갈이배추(1kg)
2021-10-12,얼갈이배추-얼갈이배추(1kg),1698.6267097202972,얼갈이배추,얼갈이배추(1kg)
2021-10-13,얼갈이배추-얼갈이배추(1kg),1664.858041832903,얼갈이배추,얼갈이배추(1kg)
2021-10-14,얼갈이배추-얼갈이배추(1kg),1627.617099921317,얼갈이배추,얼갈이배추(1kg)
2021-09-17,수박-수박(1개),16378.20796927598,수박,수박(1개)
2021-09-18,수박-수박(1개),16370.615534562536,수박,수박(1개)
2021-09-19,수박-수박(1개),15975.108348803007,수박,수박(1개)
2021-09-20,수박-수박(1개),16084.029192479928,수박,수박(1개)
2021-09-21,수박-수박(1개),15993.24741981718,수박,수박(1개)
2021-09-22,수박-수박(1개),15824.441224938075,수박,수박(1개)
2021-09-23,수박-수박(1개),15723.993763945035,수박,수박(1개)
2021-09-24,수박-수박(1개),15731.543713328289,수박,수박(1개)
2021-09-25,수박-수박(1개),15736.903601498012,수박,수박(1개)
2021-09-26,수박-수박(1개),15351.653116544481,수박,수박(1개)
2021-09-27,수박-수박(1개),15468.101461313358,수박,수박(1개)
2021-09-28,수박-수박(1개),15382.010022668823,수박,수박(1개)
2021-09-29,수박-수박(1개),15215.067048868206,수박,수박(1개)
